DLRT,PSIZ,REPL,SQLN,NGEN,MTHD,SENL,SEI1,SEI2,SEFP,SEFN,SERF
0.0,1000,01,0,25,split,25,22,22,0,0,0.000000
0.0,1000,01,0,25,astral,25,22,22,0,0,0.000000
0.0,1000,01,0,25,astrid,25,22,22,0,0,0.000000
0.0,1000,02,0,25,split,25,22,22,0,0,0.000000
0.0,1000,02,0,25,astral,25,22,22,0,0,0.000000
0.0,1000,02,0,25,astrid,25,22,22,0,0,0.000000
0.0,1000,03,0,25,split,25,22,22,0,0,0.000000
0.0,1000,03,0,25,astral,25,22,22,0,0,0.000000
0.0,1000,03,0,25,astrid,25,22,22,0,0,0.000000
0.0,1000,04,0,25,split,25,22,22,0,0,0.000000
0.0,1000,04,0,25,astral,25,22,22,0,0,0.000000
0.0,1000,04,0,25,astrid,25,22,22,0,0,0.000000
0.0,1000,05,0,25,split,25,22,22,0,0,0.000000
0.0,1000,05,0,25,astral,25,22,22,0,0,0.000000
0.0,1000,05,0,25,astrid,25,22,22,0,0,0.000000
0.0,1000,06,0,25,split,25,22,22,0,0,0.000000
0.0,1000,06,0,25,astral,25,22,22,0,0,0.000000
0.0,1000,06,0,25,astrid,25,22,22,0,0,0.000000
0.0,1000,07,0,25,split,25,22,22,0,0,0.000000
0.0,1000,07,0,25,astral,25,22,22,0,0,0.000000
0.0,1000,07,0,25,astrid,25,22,22,0,0,0.000000
0.0,1000,08,0,25,split,25,22,22,0,0,0.000000
0.0,1000,08,0,25,astral,25,22,22,0,0,0.000000
0.0,1000,08,0,25,astrid,25,22,22,0,0,0.000000
0.0,1000,09,0,25,split,25,22,22,0,0,0.000000
0.0,1000,09,0,25,astral,25,22,22,0,0,0.000000
0.0,1000,09,0,25,astrid,25,22,22,0,0,0.000000
0.0,1000,10,0,25,split,25,22,22,0,0,0.000000
0.0,1000,10,0,25,astral,25,22,22,0,0,0.000000
0.0,1000,10,0,25,astrid,25,22,22,0,0,0.000000
0.0,50000000,01,0,25,split,25,22,22,0,0,0.000000
0.0,50000000,01,0,25,astral,25,22,22,0,0,0.000000
0.0,50000000,01,0,25,astrid,25,22,22,0,0,0.000000
0.0,50000000,02,0,25,split,25,22,22,0,0,0.000000
0.0,50000000,02,0,25,astral,25,22,22,0,0,0.000000
0.0,50000000,02,0,25,astrid,25,22,22,0,0,0.000000
0.0,50000000,03,0,25,split,25,22,22,0,0,0.000000
0.0,50000000,03,0,25,astral,25,22,22,0,0,0.000000
0.0,50000000,03,0,25,astrid,25,22,22,0,0,0.000000
0.0,50000000,04,0,25,split,25,22,22,0,0,0.000000
0.0,50000000,04,0,25,astral,25,22,22,0,0,0.000000
0.0,50000000,04,0,25,astrid,25,22,22,0,0,0.000000
0.0,50000000,05,0,25,split,25,22,22,0,0,0.000000
0.0,50000000,05,0,25,astral,25,22,22,0,0,0.000000
