GENE,fA,fC,fG,fT,rAC,rAG,rAT,rCG,rCT,rGT,ALPH,NDAP,SAME_SEQ1,SAME_SEQ2,SEED,SECS
0001,"19_0_0,18_0_0,18_0_0,4_0_0,1_0_0,11_0_0","15_0_0,24_0_0,14_0_0,7_0_0,2_0_0,9_0_0",20,304810948,0.372,0.124,0.169,0.335,0,0.313307,1838.126800,2745.430711,1189.772684,473.221433,5818.483376,1.000000,2.658051
0002,"9_0_0","11_0_0",17,398472914,0.294,0.131,0.180,0.394,0,0.655163,621.157175,1577.333046,848.076962,1979.056386,3780.574234,1.000000,0.823349
0003,"1_0_0,11_0_0","2_0_0,9_0_0",25,96362420,0.257,0.218,0.271,0.254,0,1.479346,11.668556,13.108877,7.488655,5.328006,14.026621,1.000000,3.481745
0004,"2_2_0,11_0_0,1_0_0","1_2_0,9_0_0,2_0_0",20,348502870,0.348,0.140,0.158,0.354,0,0.712786,1.375828,2.287818,2.745945,5.500213,11.546592,1.000000,1.914140
0005,"18_0_0,1_0_0","14_0_0,2_0_0",20,422479974,0.362,0.191,0.113,0.334,0,0.777880,0.896407,2.060867,0.347751,0.908729,1.661368,1.000000,0.903634
0007,"19_0_0,25_0_0,18_0_0,18_0_0,18_0_0","15_0_0,21_0_0,24_0_0,20_0_0,14_0_0",20,821608771,0.273,0.232,0.180,0.315,0,0.642784,2.955616,6.268110,1.129529,2.455045,6.868180,1.000000,0.706493
0008,"1_0_0","2_0_0",21,469485354,0.231,0.304,0.142,0.324,0,0.652462,1.443941,4.485610,0.524395,1.881430,2.092678,1.000000,0.797902
0009,"18_0_0,24_0_0,11_0_0,1_0_0","14_0_0,20_0_0,9_0_0,2_0_0",21,680525175,0.328,0.198,0.235,0.238,0,0.770815,270500.176880,827547.930889,126666.009656,129682.835455,378533.158561,1.000000,1.239405
0011,"18_2_0,19_0_0,19_0_0,19_0_0,24_2_0,18_0_0,11_0_0,1_0_0","14_2_0,15_0_0,22_1_0,22_0_0,20_2_0,14_0_0,9_0_0,2_0_0",24,809154323,0.175,0.163,0.345,0.317,0,1.630433,25.651141,15.997965,6.490080,6.930224,35.456259,1.000000,2.099303
0013,"18_0_0,2_1_0,1_0_0,11_0_0","14_0_0,1_1_0,2_0_0,9_0_0",21,99998,0.403,0.241,0.140,0.216,0,0.860776,1.568019,2.878297,0.000100,0.897391,8.891787,1.000000,1.040758
0014,"18_2_0,18_2_0,18_2_0","18_0_0,14_2_0,14_0_0",20,626553179,0.264,0.120,0.231,0.385,0,0.456304,4005.830665,3240.274222,2454.798584,5170.516228,11083.647831,1.000000,1.737584
0015,"23_0_0,18_0_0,21_0_0,21_0_0,1_0_0","17_0_0,14_0_0,11_0_0,9_0_0,2_0_0",22,518172320,0.345,0.229,0.271,0.155,0,0.523014,2.916588,1.683239,3.172539,0.706143,3.480466,1.000000,2.684568
0016,"19_0_0,18_0_0,11_0_0,11_0_0,4_0_0,14_1_0","22_0_0,14_0_0,9_0_0,21_0_0,7_0_0,18_1_0",14,65640613,0.266,0.173,0.246,0.315,0,0.139604,0.304992,0.708369,0.134396,0.000100,1.072111,1.000000,3.719409
0017,"23_0_0,18_0_0,18_0_0,2_1_0,21_0_0","17_0_0,20_0_0,14_0_0,1_1_0,11_0_0",18,121840230,0.263,0.144,0.333,0.261,0,0.285599,3.297031,3.062094,0.000100,0.749926,4.835662,1.000000,1.470393
0018,"15_0_0,1_0_0","22_0_0,2_0_0",20,485792543,0.382,0.136,0.289,0.193,0,0.655714,1.153772,2.175893,0.369505,0.798135,6.016008,1.000000,0.825474
0019,"21_0_0,21_0_0,1_0_0,4_0_0","11_0_0,9_0_0,2_0_0,7_0_0",17,312141227,0.505,0.170,0.119,0.206,0,0.809355,6.074621,5.189352,0.000100,10.419633,6.931560,1.000000,0.868065
0020,"23_0_0,1_1_0","17_0_0,2_1_0",22,463627749,0.428,0.188,0.214,0.169,0,0.505171,2.181124,2.794673,0.000100,0.000100,2.378957,1.000000,0.815887
0021,"23_0_0,11_0_0,14_0_0","17_0_0,9_0_0,18_0_0",20,763887802,0.446,0.100,0.278,0.175,0,0.492121,1.258281,0.331418,0.784230,1.281998,7.723930,1.000000,0.993586
0022,"11_0_0","9_0_0",21,605534983,0.425,0.193,0.120,0.262,0,0.933444,2.108608,10.722502,0.921696,6.082252,6.015018,1.000000,0.730462
0023,"23_0_0,5_0_0,11_0_0","17_0_0,5_3_0,9_0_0",23,131127623,0.294,0.165,0.165,0.377,0,0.810012,0.418937,2.641555,0.210318,2.340067,1.841541,1.000000,2.142922
0024,"18_0_0,21_3_0,11_0_0,4_0_0","14_0_0,21_0_0,9_0_0,7_0_0",24,76253240,0.412,0.217,0.161,0.210,0,0.863808,981.986640,3767.294346,595.235035,342.768464,2315.694636,1.000000,2.620322
0025,"18_0_0,24_0_0,11_0_0,1_0_0","14_0_0,20_0_0,9_0_0,2_0_0",25,709837122,0.298,0.274,0.137,0.291,0,0.747719,7.075121,7.349505,0.000100,3.305537,17.956763,1.000000,1.778561
0026,"18_0_0,21_0_0,21_0_0,1_0_0","14_0_0,11_0_0,9_0_0,2_0_0",20,509673540,0.239,0.160,0.254,0.348,0,0.618157,5.758461,2.782384,0.287367,0.000100,4.204988,1.000000,1.106985
0027,"23_1_0,18_0_0,18_0_0,1_0_0,22_0_0,11_0_0","17_1_0,20_0_0,14_0_0,2_0_0,7_0_0,9_0_0",22,129997853,0.159,0.231,0.396,0.214,0,0.757748,7.816170,3.648497,7.220688,1.220263,8.619509,1.000000,4.430831
0028,"17_1_0,19_0_0,13_1_0,4_0_0,1_0_0,11_0_0","5_1_0,25_0_0,18_1_0,7_0_0,2_0_0,21_0_0",23,370471220,0.382,0.158,0.199,0.261,0,2.626344,2.244161,2.575597,1.134381,0.928158,9.184173,1.000000,1.882286
0029,"18_0_0,4_0_0,1_0_0,11_0_0","14_0_0,7_0_0,2_0_0,9_0_0",24,244332647,0.162,0.227,0.288,0.323,0,1.673989,9.392487,18.521366,7.814074,6.448037,11.720872,1.000000,1.192630
0030,"23_0_0,18_0_0,4_0_0,1_0_0","17_0_0,14_0_0,7_0_0,2_0_0",18,687263578,0.338,0.194,0.202,0.267,0,0.192721,2.708205,4.002732,0.000100,0.964163,5.379965,1.000000,2.114825
0031,"18_0_0,24_0_0","14_0_0,20_0_0",24,470626766,0.294,0.112,0.354,0.240,0,1.199093,20728.055127,10925.661718,6317.012037,6420.916979,36186.246195,1.000000,1.778284
0032,"18_0_0,21_0_0,11_1_0","14_0_0,9_0_0,9_1_0",23,380858078,0.316,0.236,0.209,0.239,0,0.584924,4318.451923,7340.336383,1883.654043,4037.405038,8834.526654,1.000000,3.032455
0033,"15_0_0,11_1_0","19_0_0,9_1_0",23,415965613,0.256,0.114,0.307,0.323,0,0.422364,4405.472633,8402.334553,5535.414148,2809.043859,23913.159033,1.000000,1.721255
0034,"18_0_0,17_0_0,11_0_0,11_0_0","14_0_0,23_2_0,9_0_0,21_0_0",18,570831582,0.593,0.146,0.165,0.096,0,1.438666,0.655930,0.239373,0.415920,0.083178,1.588544,1.000000,0.576643
0035,"23_0_0,18_0_0,18_0_0,4_0_0,1_0_0,11_0_0","17_0_0,20_0_0,14_0_0,7_0_0,2_0_0,9_0_0",17,173772697,0.283,0.157,0.299,0.261,0,0.682150,5.235921,5.263083,13.757589,0.689499,17.307016,1.000000,0.650794
0036,"23_0_0,18_0_0,1_0_0,11_0_0","17_0_0,14_0_0,2_0_0,9_0_0",21,656170883,0.258,0.323,0.200,0.218,0,0.442100,29.480493,39.095353,1.415741,6.104807,41.602526,1.000000,0.892072
0037,"18_0_0,21_0_0,1_0_0","14_0_0,9_0_0,2_0_0",23,178481075,0.362,0.185,0.148,0.306,0,0.836167,122.430799,931.372180,143.370875,1304.050889,431.548602,1.000000,1.929793
0038,"9_0_0","11_0_0",19,513502483,0.288,0.261,0.208,0.242,0,0.355147,0.220180,1.109603,0.198888,0.247340,1.442041,1.000000,0.605809
