GENE,Lt_node,Lt_paralog,Lt_event,St_node
0001,'Lost-8_0',0,Loss,8
0001,'Lost-35_0',0,Loss,35
0001,'18_0',0,Leaf,'18'
0001,'17_0',0,Leaf,'17'
0001,'23_0',0,Leaf,'23'
0001,5,0,Sp,39
0001,6,0,Sp,40
0001,'24_0',0,Leaf,'24'
0001,'13_0',0,Leaf,'13'
0001,'22_0',0,Leaf,'22'
0001,10,0,Sp,44
0001,11,0,Sp,45
0001,12,0,Sp,46
0001,13,0,Sp,47
0001,14,0,Sp,48
0002,'3_0',0,Leaf,'3'
0002,'4_0',0,Leaf,'4'
0002,'1_0',0,Leaf,'1'
0002,3,0,Sp,3
0002,4,0,Sp,4
0002,'5_0',0,Leaf,'5'
0002,'2_0',0,Leaf,'2'
0002,7,0,Sp,7
0002,8,0,Sp,8
0002,'7_0',0,Leaf,'7'
0002,'16_0',0,Leaf,'16'
0002,11,0,Sp,11
0002,'15_0',0,Leaf,'15'
0002,'10_0',0,Leaf,'10'
0002,'6_0',0,Leaf,'6'
0002,'20_0',0,Leaf,'20'
0002,16,0,Sp,16
0002,17,0,Sp,17
0002,18,0,Sp,18
0002,'11_0',0,Leaf,'11'
0002,'14_0',0,Leaf,'14'
0002,'19_0',0,Leaf,'19'
0002,22,0,Sp,22
0002,23,0,Sp,23
0002,24,0,Sp,24
0002,'12_0',0,Leaf,'12'
0002,26,0,Sp,26
0002,'21_0',0,Leaf,'21'
0002,'25_0',0,Leaf,'25'
0002,'8_0',0,Leaf,'8'
0002,30,0,Sp,30
0002,'9_0',0,Leaf,'9'
0002,32,0,Sp,32
0002,33,0,Sp,33
0002,34,0,Sp,34
0002,35,0,Sp,35
0002,'18_0',0,Leaf,'18'
0002,'17_0',0,Leaf,'17'
0002,'23_0',0,Leaf,'23'
0002,39,0,Sp,39
0002,40,0,Sp,40
0002,'24_0',0,Leaf,'24'
0002,'13_0',0,Leaf,'13'
0002,'22_0',0,Leaf,'22'
0002,44,0,Sp,44
0002,45,0,Sp,45
0002,46,0,Sp,46
0002,47,0,Sp,47
0002,48,0,Sp,48
0003,'3_0',0,Leaf,'3'
0003,'4_0',0,Leaf,'4'
0003,'1_0',0,Leaf,'1'
0003,3,0,Sp,3
0003,4,0,Sp,4
0003,'5_0',0,Leaf,'5'
0003,'2_0',0,Leaf,'2'
0003,7,0,Sp,7
0003,8,0,Sp,8
0003,'7_0',0,Leaf,'7'
0003,'16_0',0,Leaf,'16'
0003,11,0,Sp,11
0003,'15_0',0,Leaf,'15'
0003,'10_0',0,Leaf,'10'
0003,'6_0',0,Leaf,'6'
0003,'20_0',0,Leaf,'20'
0003,16,0,Sp,16
0003,17,0,Sp,17
0003,18,0,Sp,18
0003,'11_0',0,Leaf,'11'
0003,'14_0',0,Leaf,'14'
0003,'19_0',0,Leaf,'19'
0003,22,0,Sp,22
0003,23,0,Sp,23
0003,24,0,Sp,24
0003,'12_0',0,Leaf,'12'
0003,26,0,Sp,26
0003,'15_1',1,Leaf,'15'
0003,'10_1',1,Leaf,'10'
0003,'6_1',1,Leaf,'6'
0003,'20_1',1,Leaf,'20'
0003,31,1,Sp,16
0003,32,1,Sp,17
0003,33,1,Sp,18
0003,'11_1',1,Leaf,'11'
0003,'14_1',1,Leaf,'14'
0003,'19_1',1,Leaf,'19'
0003,37,1,Sp,22
0003,38,1,Sp,23
0003,39,1,Sp,24
0003,'Lost-25_1',1,Loss,25
0003,41,1,Sp,26
0003,42,0,Dup,26
0003,'21_0',0,Leaf,'21'
0003,'21_2',2,Leaf,'21'
0003,45,0,Dup,'21'
0003,'25_0',0,Leaf,'25'
0003,'8_0',0,Leaf,'8'
0003,48,0,Sp,30
0003,'9_0',0,Leaf,'9'
0003,50,0,Sp,32
0003,51,0,Sp,33
0003,52,0,Sp,34
0003,53,0,Sp,35
0003,'18_0',0,Leaf,'18'
0003,'17_0',0,Leaf,'17'
0003,'23_0',0,Leaf,'23'
0003,57,0,Sp,39
0003,58,0,Sp,40
0003,'24_0',0,Leaf,'24'
0003,'13_0',0,Leaf,'13'
0003,'22_0',0,Leaf,'22'
0003,62,0,Sp,44
0003,63,0,Sp,45
0003,64,0,Sp,46
0003,65,0,Sp,47
0003,66,0,Sp,48
0004,'3_0',0,Leaf,'3'
0004,'4_0',0,Leaf,'4'
0004,'1_0',0,Leaf,'1'
0004,3,0,Sp,3
0004,4,0,Sp,4
0004,'5_0',0,Leaf,'5'
0004,'2_0',0,Leaf,'2'
0004,7,0,Sp,7
0004,8,0,Sp,8
0004,'Lost-35_0',0,Loss,35
0004,'18_0',0,Leaf,'18'
0004,'17_0',0,Leaf,'17'
0004,'23_0',0,Leaf,'23'
0004,13,0,Sp,39
0004,14,0,Sp,40
0004,'24_0',0,Leaf,'24'
0004,'13_0',0,Leaf,'13'
0004,'22_0',0,Leaf,'22'
0004,18,0,Sp,44
0004,19,0,Sp,45
0004,20,0,Sp,46
0004,21,0,Sp,47
0004,22,0,Sp,48
0005,'3_0',0,Leaf,'3'
0005,'4_0',0,Leaf,'4'
0005,'1_0',0,Leaf,'1'
0005,3,0,Sp,3
0005,4,0,Sp,4
0005,'5_0',0,Leaf,'5'
0005,'2_0',0,Leaf,'2'
0005,7,0,Sp,7
0005,8,0,Sp,8
0005,'Lost-11_0',0,Loss,11
0005,'15_0',0,Leaf,'15'
0005,'10_0',0,Leaf,'10'
0005,'6_0',0,Leaf,'6'
0005,'20_0',0,Leaf,'20'
0005,14,0,Sp,16
0005,15,0,Sp,17
0005,16,0,Sp,18
0005,'11_0',0,Leaf,'11'
0005,'14_0',0,Leaf,'14'
0005,'19_0',0,Leaf,'19'
0005,20,0,Sp,22
0005,21,0,Sp,23
0005,22,0,Sp,24
0005,'12_0',0,Leaf,'12'
0005,24,0,Sp,26
0005,'21_0',0,Leaf,'21'
0005,'21_1',1,Leaf,'21'
0005,27,0,Dup,'21'
0005,'25_0',0,Leaf,'25'
0005,'8_0',0,Leaf,'8'
0005,30,0,Sp,30
0005,'9_0',0,Leaf,'9'
0005,32,0,Sp,32
0005,33,0,Sp,33
0005,34,0,Sp,34
0005,35,0,Sp,35
0005,'18_0',0,Leaf,'18'
0005,'17_0',0,Leaf,'17'
0005,'23_0',0,Leaf,'23'
0005,39,0,Sp,39
0005,40,0,Sp,40
0005,'24_0',0,Leaf,'24'
0005,'13_0',0,Leaf,'13'
0005,'22_0',0,Leaf,'22'
0005,44,0,Sp,44
0005,45,0,Sp,45
0005,46,0,Sp,46
0005,47,0,Sp,47
0005,48,0,Sp,48
0006,'Lost-8_0',0,Loss,8
0006,'7_0',0,Leaf,'7'
0006,'16_0',0,Leaf,'16'
0006,3,0,Sp,11
0006,'15_0',0,Leaf,'15'
0006,'10_0',0,Leaf,'10'
0006,'6_0',0,Leaf,'6'
0006,'20_0',0,Leaf,'20'
0006,8,0,Sp,16
0006,9,0,Sp,17
0006,10,0,Sp,18
0006,'11_0',0,Leaf,'11'
0006,'14_0',0,Leaf,'14'
0006,'19_0',0,Leaf,'19'
0006,14,0,Sp,22
0006,15,0,Sp,23
0006,16,0,Sp,24
0006,'12_0',0,Leaf,'12'
0006,18,0,Sp,26
0006,'21_0',0,Leaf,'21'
0006,'25_0',0,Leaf,'25'
0006,'8_0',0,Leaf,'8'
0006,22,0,Sp,30
0006,'9_0',0,Leaf,'9'
0006,24,0,Sp,32
0006,25,0,Sp,33
0006,26,0,Sp,34
0006,27,0,Sp,35
0006,'18_0',0,Leaf,'18'
0006,'17_0',0,Leaf,'17'
0006,'23_0',0,Leaf,'23'
0006,31,0,Sp,39
0006,32,0,Sp,40
0006,'24_0',0,Leaf,'24'
0006,'13_0',0,Leaf,'13'
0006,'22_0',0,Leaf,'22'
0006,36,0,Sp,44
0006,37,0,Sp,45
0006,38,0,Sp,46
0006,39,0,Sp,47
0006,40,0,Sp,48
0007,'3_0',0,Leaf,'3'
0007,'4_0',0,Leaf,'4'
0007,'1_0',0,Leaf,'1'
0007,3,0,Sp,3
0007,4,0,Sp,4
0007,'5_0',0,Leaf,'5'
0007,'2_0',0,Leaf,'2'
0007,7,0,Sp,7
0007,8,0,Sp,8
0007,'7_0',0,Leaf,'7'
0007,'16_0',0,Leaf,'16'
0007,11,0,Sp,11
0007,'15_0',0,Leaf,'15'
0007,'15_1',1,Leaf,'15'
0007,14,0,Dup,'15'
0007,'10_0',0,Leaf,'10'
0007,'6_0',0,Leaf,'6'
0007,'20_0',0,Leaf,'20'
0007,18,0,Sp,16
0007,19,0,Sp,17
0007,20,0,Sp,18
0007,'11_0',0,Leaf,'11'
0007,'14_0',0,Leaf,'14'
0007,'19_0',0,Leaf,'19'
0007,24,0,Sp,22
0007,25,0,Sp,23
0007,26,0,Sp,24
0007,'12_0',0,Leaf,'12'
0007,'12_2',2,Leaf,'12'
0007,29,0,Dup,'12'
0007,30,0,Sp,26
0007,'21_0',0,Leaf,'21'
0007,'25_0',0,Leaf,'25'
0007,'8_0',0,Leaf,'8'
0007,34,0,Sp,30
0007,'9_0',0,Leaf,'9'
0007,36,0,Sp,32
0007,37,0,Sp,33
0007,38,0,Sp,34
0007,39,0,Sp,35
0007,'18_0',0,Leaf,'18'
0007,'17_0',0,Leaf,'17'
0007,'23_0',0,Leaf,'23'
0007,43,0,Sp,39
0007,44,0,Sp,40
0007,'24_0',0,Leaf,'24'
0007,'13_0',0,Leaf,'13'
0007,'22_0',0,Leaf,'22'
0007,48,0,Sp,44
0007,49,0,Sp,45
0007,'24_3',3,Leaf,'24'
0007,'13_3',3,Leaf,'13'
0007,'22_3',3,Leaf,'22'
0007,53,3,Sp,44
0007,54,3,Sp,45
0007,55,0,Dup,45
0007,56,0,Sp,46
0007,57,0,Sp,47
0007,58,0,Sp,48
0008,'3_0',0,Leaf,'3'
0008,'4_0',0,Leaf,'4'
0008,'1_0',0,Leaf,'1'
0008,3,0,Sp,3
0008,4,0,Sp,4
0008,'5_0',0,Leaf,'5'
0008,'2_0',0,Leaf,'2'
0008,7,0,Sp,7
0008,8,0,Sp,8
0008,'7_0',0,Leaf,'7'
0008,'16_0',0,Leaf,'16'
0008,11,0,Sp,11
0008,'15_0',0,Leaf,'15'
0008,'10_0',0,Leaf,'10'
0008,'10_1',1,Leaf,'10'
0008,15,0,Dup,'10'
0008,'6_0',0,Leaf,'6'
0008,'20_0',0,Leaf,'20'
0008,18,0,Sp,16
0008,19,0,Sp,17
0008,20,0,Sp,18
0008,'11_0',0,Leaf,'11'
0008,'14_0',0,Leaf,'14'
0008,'Lost-21_0',0,Loss,21
0008,24,0,Sp,22
0008,25,0,Sp,23
0008,26,0,Sp,24
0008,'12_0',0,Leaf,'12'
0008,28,0,Sp,26
0008,'21_0',0,Leaf,'21'
0008,'25_0',0,Leaf,'25'
0008,'8_0',0,Leaf,'8'
0008,32,0,Sp,30
0008,'9_0',0,Leaf,'9'
0008,34,0,Sp,32
0008,35,0,Sp,33
0008,36,0,Sp,34
0008,37,0,Sp,35
0008,'18_0',0,Leaf,'18'
0008,'17_0',0,Leaf,'17'
0008,'23_0',0,Leaf,'23'
0008,41,0,Sp,39
0008,42,0,Sp,40
0008,'24_0',0,Leaf,'24'
0008,'24_2',2,Leaf,'24'
0008,45,0,Dup,'24'
0008,'13_0',0,Leaf,'13'
0008,'22_0',0,Leaf,'22'
0008,48,0,Sp,44
0008,49,0,Sp,45
0008,50,0,Sp,46
0008,51,0,Sp,47
0008,52,0,Sp,48
0009,'Lost-8_0',0,Loss,8
0009,'7_0',0,Leaf,'7'
0009,'16_0',0,Leaf,'16'
0009,3,0,Sp,11
0009,'15_0',0,Leaf,'15'
0009,'10_0',0,Leaf,'10'
0009,'6_0',0,Leaf,'6'
0009,'20_0',0,Leaf,'20'
0009,8,0,Sp,16
0009,9,0,Sp,17
0009,10,0,Sp,18
0009,'11_0',0,Leaf,'11'
0009,'14_0',0,Leaf,'14'
0009,'19_0',0,Leaf,'19'
0009,14,0,Sp,22
0009,15,0,Sp,23
0009,16,0,Sp,24
0009,'12_0',0,Leaf,'12'
0009,18,0,Sp,26
0009,'21_0',0,Leaf,'21'
0009,'25_0',0,Leaf,'25'
0009,'8_0',0,Leaf,'8'
0009,22,0,Sp,30
0009,'9_0',0,Leaf,'9'
0009,24,0,Sp,32
0009,25,0,Sp,33
0009,26,0,Sp,34
0009,27,0,Sp,35
0009,'18_0',0,Leaf,'18'
0009,'17_0',0,Leaf,'17'
0009,'23_0',0,Leaf,'23'
0009,31,0,Sp,39
0009,32,0,Sp,40
0009,'24_0',0,Leaf,'24'
0009,'13_0',0,Leaf,'13'
0009,'22_0',0,Leaf,'22'
0009,36,0,Sp,44
0009,37,0,Sp,45
0009,38,0,Sp,46
0009,'18_1',1,Leaf,'18'
0009,'17_1',1,Leaf,'17'
0009,'23_1',1,Leaf,'23'
0009,42,1,Sp,39
0009,43,1,Sp,40
0009,'24_1',1,Leaf,'24'
0009,'13_1',1,Leaf,'13'
0009,'22_1',1,Leaf,'22'
0009,47,1,Sp,44
0009,48,1,Sp,45
0009,'24_2',2,Leaf,'24'
0009,'13_2',2,Leaf,'13'
0009,'22_2',2,Leaf,'22'
0009,52,2,Sp,44
0009,53,2,Sp,45
0009,54,1,Dup,45
0009,55,1,Sp,46
0009,56,0,Dup,46
0009,57,0,Sp,47
0009,58,0,Sp,48
0010,'3_0',0,Leaf,'3'
0010,'4_0',0,Leaf,'4'
0010,'1_0',0,Leaf,'1'
0010,3,0,Sp,3
0010,4,0,Sp,4
0010,'Lost-5_0',0,Loss,5
0010,'5_1',1,Leaf,'5'
0010,7,0,Dup,'5'
0010,'2_0',0,Leaf,'2'
0010,9,0,Sp,7
0010,10,0,Sp,8
0010,'7_0',0,Leaf,'7'
0010,'7_2',2,Leaf,'7'
0010,13,0,Dup,'7'
0010,'16_0',0,Leaf,'16'
0010,15,0,Sp,11
0010,'Lost-26_0',0,Loss,26
0010,'21_0',0,Leaf,'21'
0010,'25_0',0,Leaf,'25'
0010,'8_0',0,Leaf,'8'
0010,20,0,Sp,30
0010,'9_0',0,Leaf,'9'
0010,22,0,Sp,32
0010,23,0,Sp,33
0010,24,0,Sp,34
0010,25,0,Sp,35
0010,'18_0',0,Leaf,'18'
0010,'17_0',0,Leaf,'17'
0010,'23_0',0,Leaf,'23'
0010,29,0,Sp,39
0010,30,0,Sp,40
0010,'24_0',0,Leaf,'24'
0010,'13_0',0,Leaf,'13'
0010,'22_0',0,Leaf,'22'
0010,34,0,Sp,44
0010,35,0,Sp,45
0010,36,0,Sp,46
0010,37,0,Sp,47
0010,38,0,Sp,48
0011,'3_0',0,Leaf,'3'
0011,'4_0',0,Leaf,'4'
0011,'1_0',0,Leaf,'1'
0011,3,0,Sp,3
0011,4,0,Sp,4
0011,'Lost-5_0',0,Loss,5
0011,'2_0',0,Leaf,'2'
0011,7,0,Sp,7
0011,8,0,Sp,8
0011,'3_1',1,Leaf,'3'
0011,'4_1',1,Leaf,'4'
0011,'Lost-2_1',1,Loss,2
0011,12,1,Sp,3
0011,13,1,Sp,4
0011,'5_1',1,Leaf,'5'
0011,'2_1',1,Leaf,'2'
0011,16,1,Sp,7
0011,17,1,Sp,8
