GENE,Gt_node,Lt_node,Lt_paralog
0001,'19_7_0','19_7',7
0001,'19_2_0','19_2',2
0001,2,30,2
0001,'6_2_0','6_2',2
0001,4,32,2
0001,'9_2_0','9_2',2
0001,6,34,2
0001,'16_2_0','16_2',2
0001,'10_2_0','10_2',2
0001,'20_2_0','20_2',2
0001,10,22,2
0001,11,23,2
0001,'21_2_0','21_2',2
0001,'21_6_0','21_6',6
0001,14,26,2
0001,15,27,2
0001,16,35,2
0001,'16_4_0','16_4',4
0001,'20_4_0','20_4',4
0001,'10_4_0','10_4',4
0001,20,46,4
0001,21,47,4
0001,'20_3_0','20_3',3
0001,'10_3_0','10_3',3
0001,24,41,3
0001,'16_5_0','16_5',5
0001,'16_3_0','16_3',3
0001,27,38,3
0001,28,42,3
0001,29,48,3
0001,'19_8_0','19_8',8
0001,'19_3_0','19_3',3
0001,32,53,3
0001,'6_3_0','6_3',3
0001,34,55,3
0001,'9_3_0','9_3',3
0001,36,57,3
0001,37,58,3
0001,38,59,2
0001,'21_0_0','21_0',0
0001,'16_0_0','16_0',0
0001,'10_0_0','10_0',0
0001,'20_0_0','20_0',0
0001,43,9,0
0001,44,10,0
0001,45,12,0
0001,'19_0_0','19_0',0
0001,'6_0_0','6_0',0
0001,48,15,0
0001,49,18,0
0001,50,60,0
0002,'8_0_0','8_0',0
0002,'12_0_0','12_0',0
0002,'12_1_0','12_1',1
0002,3,11,0
0002,4,13,0
0002,'20_2_0','20_2',2
0002,'10_2_0','10_2',2
0002,7,18,2
0002,'16_2_0','16_2',2
0002,9,19,2
0002,'21_3_0','21_3',3
0002,'21_2_0','21_2',2
0002,12,22,2
0002,13,23,2
0002,'9_4_0','9_4',4
0002,'6_5_0','6_5',5
0002,'6_7_0','6_7',7
0002,17,38,5
0002,18,42,4
0002,'9_0_0','9_0',0
0002,'19_0_0','19_0',0
0002,'19_6_0','19_6',6
0002,22,27,0
0002,'6_0_0','6_0',0
0002,24,29,0
0002,25,31,0
0002,26,43,0
0002,27,44,0
0002,28,45,0
0002,'2_0_0','2_0',0
0002,'4_0_0','4_0',0
0002,'3_0_0','3_0',0
0002,32,2,0
0002,33,4,0
0002,'1_0_0','1_0',0
0002,'5_0_0','5_0',0
0002,36,7,0
0002,37,8,0
0002,38,50,0
0003,'1_2_0','1_2',2
0003,'1_0_0','1_0',0
0003,2,14,0
0003,'5_0_0','5_0',0
0003,4,15,0
0003,'4_0_0','4_0',0
0003,'3_0_0','3_0',0
0003,7,2,0
0003,'2_0_0','2_0',0
0003,9,4,0
0003,'2_1_0','2_1',1
0003,'4_1_0','4_1',1
0003,'3_1_0','3_1',1
0003,13,7,1
0003,14,9,1
0003,15,10,0
0003,16,16,0
0003,'21_3_0','21_3',3
0003,'16_3_0','16_3',3
0003,'20_3_0','20_3',3
0003,'10_3_0','10_3',3
0003,21,48,3
0003,22,49,3
0003,23,51,3
0003,'18_3_0','18_3',3
0003,'14_6_0','14_6',6
0003,'14_3_0','14_3',3
0003,27,60,3
0003,'14_5_0','14_5',5
0003,29,62,3
0003,'22_3_0','22_3',3
0003,'22_10_0','22_10',10
0003,32,69,3
0003,33,70,3
0003,34,71,3
0003,35,72,3
0003,'14_0_0','14_0',0
0003,'24_7_0','24_7',7
0003,'24_8_0','24_8',8
0003,'24_0_0','24_0',0
0003,40,28,0
0003,41,30,0
0003,42,31,0
0003,'25_0_0','25_0',0
0003,'13_0_0','13_0',0
0003,'23_0_0','23_0',0
0003,'23_9_0','23_9',9
0003,47,36,0
0003,48,37,0
0003,49,38,0
0003,50,39,0
0003,'22_0_0','22_0',0
0003,52,41,0
0003,'8_4_0','8_4',4
0003,'8_0_0','8_0',0
0003,55,20,0
0003,'12_0_0','12_0',0
0003,57,21,0
0003,58,43,0
0003,59,73,0
0003,60,74,0
0004,'22_0_0','22_0',0
0004,'24_0_0','24_0',0
0004,'24_2_0','24_2',2
0004,3,28,0
0004,'13_6_0','13_6',6
0004,'13_0_0','13_0',0
0004,6,33,0
0004,'23_0_0','23_0',0
0004,8,35,0
0004,'23_3_0','23_3',3
0004,'25_3_0','25_3',3
